tab	samples
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
	-89.4	0.0	0.0	90.0	This study	-33.0			0		SO-CMD-NORTH	TU3-1	TU3
	-75.0	0.0	0.0	90.0	This study	-38.0			0		SO-CMD-NORTH	TU3-2	TU3
	-63.6	0.0	0.0	90.0	This study	-38.0			0		SO-CMD-NORTH	TU3-3	TU3
	-74.0	0.0	0.0	90.0	This study	-50.0			0		SO-CMD-NORTH	TU3-4	TU3
	-78.6	0.0	0.0	90.0	This study	-50.0			0		SO-CMD-NORTH	TU3-5	TU3
	-72.2	0.0	0.0	90.0	This study	-45.0			0		SO-CMD-NORTH	TU3-6	TU3
	235.0	0.0	0.0	90.0	This study	-75.0			0		SO-CMD-NORTH	TU3-7	TU3
	241.5	0.0	0.0	90.0	This study	-75.0			0		SO-CMD-NORTH	TU3-8	TU3
	-74.6	0.0	0.0	90.0	This study	-75.0			0		SO-CMD-NORTH	TU3-9	TU3
	80.6	0.0	0.0	90.0	This study	-63.0			0		SO-CMD-NORTH	TU4-1	TU4
	100.1	0.0	0.0	90.0	This study	-64.0			0		SO-CMD-NORTH	TU4-2	TU4
	92.1	0.0	0.0	90.0	This study	-50.0			0		SO-CMD-NORTH	TU4-3	TU4
	80.2	0.0	0.0	90.0	This study	-37.0			0		SO-CMD-NORTH	TU4-4	TU4
	75.7	0.0	0.0	90.0	This study	-58.0			0		SO-CMD-NORTH	TU4-5	TU4
	70.7	0.0	0.0	90.0	This study	-53.0			0		SO-CMD-NORTH	TU4-6	TU4
	124.8	0.0	0.0	90.0	This study	-64.0			0		SO-CMD-NORTH	TU5-1	TU5
	54.3	0.0	0.0	90.0	This study	-70.0			0		SO-CMD-NORTH	TU5-2	TU5
	85.7	0.0	0.0	90.0	This study	-60.0			0		SO-CMD-NORTH	TU5-3	TU5
	86.7	0.0	0.0	90.0	This study	-31.0			0		SO-CMD-NORTH	TU5-4	TU5
	56.6	0.0	0.0	90.0	This study	-55.0			0		SO-CMD-NORTH	TU5-5	TU5
	55.0	0.0	0.0	90.0	This study	-47.0			0		SO-CMD-NORTH	TU5-6	TU5
	181.5	0.0	0.0	90.0	This study	-42.0			0		SO-CMD-NORTH	SJ1-1	SJ1
	189.5	0.0	0.0	90.0	This study	-40.0			0		SO-CMD-NORTH	SJ1-2	SJ1
	179.5	0.0	0.0	90.0	This study	-35.0			0		SO-CMD-NORTH	SJ1-3	SJ1
	194.5	0.0	0.0	90.0	This study	-35.0			0		SO-CMD-NORTH	SJ1-4	SJ1
	174.5	0.0	0.0	90.0	This study	-54.0			0		SO-CMD-NORTH	SJ1-5	SJ1
	188.5	0.0	0.0	90.0	This study	-52.0			0		SO-CMD-NORTH	SJ1-6	SJ1
	142.5	0.0	0.0	90.0	This study	-71.0			0		SO-CMD-NORTH	SJ2-1	SJ2
	147.5	0.0	0.0	90.0	This study	-64.0			0		SO-CMD-NORTH	SJ2-2	SJ2
	133.5	0.0	0.0	90.0	This study	-54.0			0		SO-CMD-NORTH	SJ2-3	SJ2
	172.8	0.0	0.0	90.0	This study	-70.0			0		SO-CMD-NORTH	SJ3-1	SJ3
	171.8	0.0	0.0	90.0	This study	-74.0			0		SO-CMD-NORTH	SJ3-2	SJ3
	143.5	0.0	0.0	90.0	This study	-65.0			0		SO-CMD-NORTH	SJ3-3	SJ3
	142.5	0.0	0.0	90.0	This study	-69.0			0		SO-CMD-NORTH	SJ3-4	SJ3
	32.7	0.0	0.0	90.0	This study	-56.0			0		SO-CMD-NORTH	SJ5-1	SJ5
	36.1	0.0	0.0	90.0	This study	-60.0			0		SO-CMD-NORTH	SJ5-2	SJ5
	28.5	0.0	0.0	90.0	This study	-63.0			0		SO-CMD-NORTH	SJ5-3	SJ5
	11.5	0.0	0.0	90.0	This study	-66.0			0		SO-CMD-NORTH	SJ5-4	SJ5
	38.9	0.0	0.0	90.0	This study	-43.0			0		SO-CMD-NORTH	SJ5-5	SJ5
	-4.7	0.0	0.0	90.0	This study	-44.0			0		SO-CMD-NORTH	SJ5-6	SJ5
	-6.0	0.0	0.0	90.0	This study	-67.0			0		SO-CMD-NORTH	SJ6-1	SJ6
	-0.8	0.0	0.0	90.0	This study	-73.0			0		SO-CMD-NORTH	SJ6-2	SJ6
	49.5	0.0	0.0	90.0	This study	-52.0			0		SO-CMD-NORTH	SJ6-3	SJ6
	-2.3	0.0	0.0	90.0	This study	-61.0			0		SO-CMD-NORTH	SJ6-4	SJ6
	38.0	0.0	0.0	90.0	This study	-55.0			0		SO-CMD-NORTH	SJ6-5	SJ6
	0.2	0.0	0.0	90.0	This study	-76.0			0		SO-CMD-NORTH	SJ6-6	SJ6
	13.4	0.0	0.0	90.0	This study	-63.0			0		SO-CMD-NORTH	SJ7-1	SJ7
	21.4	0.0	0.0	90.0	This study	-41.0			0		SO-CMD-NORTH	SJ7-2	SJ7
	12.4	0.0	0.0	90.0	This study	-50.0			0		SO-CMD-NORTH	SJ7-3	SJ7
	7.4	0.0	0.0	90.0	This study	-40.0			0		SO-CMD-NORTH	SJ7-4	SJ7
	14.4	0.0	0.0	90.0	This study	-51.0			0		SO-CMD-NORTH	SJ7-5	SJ7
	8.4	0.0	0.0	90.0	This study	-56.0			0		SO-CMD-NORTH	SJ8-1	SJ8
	2.4	0.0	0.0	90.0	This study	-51.0			0		SO-CMD-NORTH	SJ8-2	SJ8
	-8.6	0.0	0.0	90.0	This study	-67.0			0		SO-CMD-NORTH	SJ8-3	SJ8
	-4.7	0.0	0.0	90.0	This study	-59.0			0		SO-CMD-NORTH	SJ8-4	SJ8
	-45.5	0.0	0.0	90.0	This study	-59.0			0		SO-CMD-NORTH	SJ9-1	SJ9
	8.5	0.0	0.0	90.0	This study	-54.0			0		SO-CMD-NORTH	SJ9-2	SJ9
	-34.1	0.0	0.0	90.0	This study	-64.0			0		SO-CMD-NORTH	SJ9-3	SJ9
	-28.1	0.0	0.0	90.0	This study	-70.0			0		SO-CMD-NORTH	SJ9-4	SJ9
	256.8	0.0	0.0	90.0	This study	-32.0			0		SO-CMD-NORTH	SJ9-5	SJ9
	-87.2	0.0	0.0	90.0	This study	-45.0			0		SO-CMD-NORTH	SJ9-6	SJ9
	65.1	0.0	0.0	90.0	This study	-84.0			0		SO-CMD-NORTH	SJ10-1	SJ10
	76.0	0.0	0.0	90.0	This study	-24.0			0		SO-CMD-NORTH	SJ10-2	SJ10
	77.4	0.0	0.0	90.0	This study	-70.0			0		SO-CMD-NORTH	SJ10-3	SJ10
	79.3	0.0	0.0	90.0	This study	-67.0			0		SO-CMD-NORTH	SJ10-4	SJ10
	72.5	0.0	0.0	90.0	This study	-57.0			0		SO-CMD-NORTH	SJ10-5	SJ10
	77.5	0.0	0.0	90.0	This study	-66.0			0		SO-CMD-NORTH	SJ10-6	SJ10
	-30.7	0.0	0.0	90.0	This study	-68.0			0		SO-CMD-NORTH	SJ11-1	SJ11
	-34.7	0.0	0.0	90.0	This study	-63.0			0		SO-CMD-NORTH	SJ11-2	SJ11
	-30.4	0.0	0.0	90.0	This study	-66.0			0		SO-CMD-NORTH	SJ11-3	SJ11
	-26.4	0.0	0.0	90.0	This study	-71.0			0		SO-CMD-NORTH	SJ11-4	SJ11
	-59.8	0.0	0.0	90.0	This study	-90.0			0		SO-CMD-NORTH	SJ13-1	SJ13
	-61.8	0.0	0.0	90.0	This study	-90.0			0		SO-CMD-NORTH	SJ13-2	SJ13
	-64.8	0.0	0.0	90.0	This study	-87.0			0		SO-CMD-NORTH	SJ13-3	SJ13
	-63.8	0.0	0.0	90.0	This study	-78.0			0		SO-CMD-NORTH	SJ14-1	SJ14
	-76.8	0.0	0.0	90.0	This study	-78.0			0		SO-CMD-NORTH	SJ14-2	SJ14
	-63.8	0.0	0.0	90.0	This study	-78.0			0		SO-CMD-NORTH	SJ14-3	SJ14
	-67.8	0.0	0.0	90.0	This study	-61.0			0		SO-CMD-NORTH	SJ14-4	SJ14
	18.5	0.0	0.0	90.0	This study	-33.0			0		SO-CMD-NORTH	WS1-1	WS1
	38.1	0.0	0.0	90.0	This study	-39.0			0		SO-CMD-NORTH	WS1-2	WS1
	32.6	0.0	0.0	90.0	This study	-37.0			0		SO-CMD-NORTH	WS1-3	WS1
	-22.2	0.0	0.0	90.0	This study	-32.0			0		SO-CMD-NORTH	WS1-4	WS1
	28.8	0.0	0.0	90.0	This study	-59.0			0		SO-CMD-NORTH	WS1-5	WS1
	-29.1	0.0	0.0	90.0	This study	-38.0			0		SO-CMD-NORTH	WS1-6	WS1
	100.3	0.0	0.0	90.0	This study	-27.0			0		SO-CMD-NORTH	WS2-1	WS2
	120.7	0.0	0.0	90.0	This study	-50.0			0		SO-CMD-NORTH	WS2-2	WS2
	124.8	0.0	0.0	90.0	This study	-60.0			0		SO-CMD-NORTH	WS2-3	WS2
	136.9	0.0	0.0	90.0	This study	-42.0			0		SO-CMD-NORTH	WS2-4	WS2
	142.6	0.0	0.0	90.0	This study	-60.0			0		SO-CMD-NORTH	WS2-5	WS2
	115.7	0.0	0.0	90.0	This study	-62.0			0		SO-CMD-NORTH	WS2-6	WS2
	11.6	0.0	0.0	90.0	This study	-21.0			0		SO-CMD-NORTH	WS3-1	WS3
	43.8	0.0	0.0	90.0	This study	-23.0			0		SO-CMD-NORTH	WS3-2	WS3
	-0.4	0.0	0.0	90.0	This study	-25.0			0		SO-CMD-NORTH	WS3-3	WS3
	28.6	0.0	0.0	90.0	This study	-58.0			0		SO-CMD-NORTH	WS3-4	WS3
	12.9	0.0	0.0	90.0	This study	-50.0			0		SO-CMD-NORTH	WS3-5	WS3
	4.1	0.0	0.0	90.0	This study	-49.0			0		SO-CMD-NORTH	WS3-6	WS3
	-35.4	0.0	0.0	90.0	This study	-42.0			0		SO-CMD-NORTH	WS4-1	WS4
	-6.4	0.0	0.0	90.0	This study	-37.0			0		SO-CMD-NORTH	WS4-2	WS4
	-30.4	0.0	0.0	90.0	This study	-29.0			0		SO-CMD-NORTH	WS4-3	WS4
	48.6	0.0	0.0	90.0	This study	-61.0			0		SO-CMD-NORTH	WS4-4	WS4
	8.6	0.0	0.0	90.0	This study	-48.0			0		SO-CMD-NORTH	WS4-5	WS4
	-16.4	0.0	0.0	90.0	This study	-61.0			0		SO-CMD-NORTH	WS4-6	WS4
	-7.4	0.0	0.0	90.0	This study	-47.0			0		SO-CMD-NORTH	WS4-7	WS4
	41.7	0.0	0.0	90.0	This study	-63.0			0		SO-CMD-NORTH	WS5-1	WS5
	51.7	0.0	0.0	90.0	This study	-60.0			0		SO-CMD-NORTH	WS5-2	WS5
	48.7	0.0	0.0	90.0	This study	-63.0			0		SO-CMD-NORTH	WS5-3	WS5
	36.7	0.0	0.0	90.0	This study	-49.0			0		SO-CMD-NORTH	WS5-4	WS5
	49.7	0.0	0.0	90.0	This study	-50.0			0		SO-CMD-NORTH	WS5-5	WS5
	55.7	0.0	0.0	90.0	This study	-57.0			0		SO-CMD-NORTH	WS5-6	WS5
	160.7	0.0	0.0	90.0	This study	-73.0			0		SO-CMD-NORTH	WS6-1	WS6
	162.7	0.0	0.0	90.0	This study	-74.0			0		SO-CMD-NORTH	WS6-2	WS6
	156.7	0.0	0.0	90.0	This study	-77.0			0		SO-CMD-NORTH	WS6-3	WS6
	142.7	0.0	0.0	90.0	This study	-79.0			0		SO-CMD-NORTH	WS6-4	WS6
	152.7	0.0	0.0	90.0	This study	-70.0			0		SO-CMD-NORTH	WS6-5	WS6
	172.7	0.0	0.0	90.0	This study	-70.0			0		SO-CMD-NORTH	WS6-6	WS6
	45.5	0.0	0.0	90.0	This study	-56.0			0		SO-CMD-NORTH	WS7-1	WS7
	42.0	0.0	0.0	90.0	This study	-56.0			0		SO-CMD-NORTH	WS7-2	WS7
	56.9	0.0	0.0	90.0	This study	-56.0			0		SO-CMD-NORTH	WS7-3	WS7
	65.7	0.0	0.0	90.0	This study	-69.0			0		SO-CMD-NORTH	WS7-4	WS7
	44.7	0.0	0.0	90.0	This study	-57.0			0		SO-CMD-NORTH	WS7-5	WS7
	51.7	0.0	0.0	90.0	This study	-54.0			0		SO-CMD-NORTH	WS7-6	WS7
	57.7	0.0	0.0	90.0	This study	-56.0			0		SO-CMD-NORTH	WS7-7	WS7
	-37.3	0.0	0.0	90.0	This study	-20.0			0		SO-CMD-NORTH	WS8-1	WS8
	-7.8	0.0	0.0	90.0	This study	-23.0			0		SO-CMD-NORTH	WS8-2	WS8
	-24.0	0.0	0.0	90.0	This study	-27.0			0		SO-CMD-NORTH	WS8-3	WS8
	109.5	0.0	0.0	90.0	This study	-20.0			0		SO-CMD-NORTH	WS8-4	WS8
	101.7	0.0	0.0	90.0	This study	-20.0			0		SO-CMD-NORTH	WS8-5	WS8
	115.7	0.0	0.0	90.0	This study	-21.0			0		SO-CMD-NORTH	WS8-6	WS8
	94.7	0.0	0.0	90.0	This study	-24.0			0		SO-CMD-NORTH	WS8-7	WS8
	105.7	0.0	0.0	90.0	This study	-25.0			0		SO-CMD-NORTH	WS8-8	WS8
	-51.3	0.0	0.0	90.0	This study	-42.0			0		SO-CMD-NORTH	WS9-1	WS9
	-51.8	0.0	0.0	90.0	This study	-54.0			0		SO-CMD-NORTH	WS9-2	WS9
	-68.6	0.0	0.0	90.0	This study	-39.0			0		SO-CMD-NORTH	WS9-3	WS9
	-58.2	0.0	0.0	90.0	This study	-40.0			0		SO-CMD-NORTH	WS9-4	WS9
	-66.7	0.0	0.0	90.0	This study	-38.0			0		SO-CMD-NORTH	WS9-5	WS9
	-41.3	0.0	0.0	90.0	This study	-43.0			0		SO-CMD-NORTH	WS9-6	WS9
